SA2_CODE,YEAR,MEDIAN_ANNUAL_EMPLOYEE_INCOME,POP
101021007,2020,53848,
101021008,2020,63947,
101021009,2020,63627,
101021010,2020,65520,
101021012,2020,75396,
101031013,2020,49131,
101031014,2020,49169,
101031015,2020,51540,
101031016,2020,41441,
101041017,2020,39412,
101041018,2020,42035,
101041019,2020,48303,
101041020,2020,41671,
101041021,2020,43974,
101041022,2020,66607,
101041023,2020,42373,
101041024,2020,41100,
101041025,2020,44189,
101041026,2020,42476,
101041027,2020,36000,
101051539,2020,52902,
101051540,2020,50448,
101061541,2020,58549,
101061542,2020,65572,
101061543,2020,45337,
101061544,2020,44930,
102011028,2020,53929,
102011029,2020,53110,
102011030,2020,46586,
102011031,2020,51966,
102011032,2020,53603,
102011033,2020,56077,
102011035,2020,55804,
102011036,2020,54074,
102011037,2020,57156,
102011038,2020,52575,
102011040,2020,51510,
102011041,2020,53662,
102011042,2020,51475,
102011043,2020,53105,
102021044,2020,50814,
102021045,2020,49632,
102021046,2020,51143,
102021047,2020,53057,
102021048,2020,48931,
102021049,2020,53167,
102021050,2020,49373,
102021051,2020,53849,
102021052,2020,50511,
102021053,2020,53760,
102021054,2020,48749,
102021055,2020,52083,
102021056,2020,54784,
102021057,2020,48365,
103011059,2020,55635,
103011060,2020,54829,
103011061,2020,54625,
103021062,2020,43600,
103021063,2020,45822,
103021064,2020,43497,
103021065,2020,49148,
103021066,2020,41612,
103021067,2020,52507,
103021068,2020,43264,
103021069,2020,45590,
103031070,2020,52541,
103031071,2020,53812,
103031072,2020,54260,
103031073,2020,45269,
103031074,2020,50184,
103041076,2020,53004,
103041077,2020,51675,
103041078,2020,58385,
103041079,2020,54408,
104011080,2020,46799,
104011081,2020,46337,
104011082,2020,42617,
104021083,2020,40411,
104021084,2020,43943,
104021085,2020,44621,
104021086,2020,47420,
104021087,2020,37751,
104021088,2020,48138,
104021089,2020,46656,
104021090,2020,46006,
104021091,2020,35895,
105011092,2020,52015,
105011093,2020,58905,
105011094,2020,44269,
105011095,2020,50104,
105011096,2020,43096,
105021097,2020,55146,
105021098,2020,40064,
105031099,2020,42435,
105031100,2020,51947,
105031101,2020,55062,
105031102,2020,53430,
105031103,2020,53458,
105031104,2020,44395,
105031105,2020,47502,
105031106,2020,47102,
106011107,2020,59766,
106011108,2020,49534,
106011109,2020,53241,
106011110,2020,53277,
106011111,2020,52525,
106011112,2020,61334,
106011113,2020,61366,
106021114,2020,56727,
106021116,2020,60994,
106031119,2020,45961,
106031120,2020,48556,
106031121,2020,45211,
106031122,2020,50248,
106031123,2020,56336,
106031124,2020,42149,
106031125,2020,55000,
106041126,2020,59343,
106041127,2020,57644,
106041128,2020,53185,
106041129,2020,51159,
107011131,2020,53897,
107011132,2020,59834,
107011134,2020,57478,
107011545,2020,49685,
107011546,2020,49603,
107011547,2020,52734,
107021135,2020,83340,
107031136,2020,58187,
107031137,2020,52747,
107031138,2020,54433,
107031139,2020,58516,
107031140,2020,52571,
107031141,2020,57505,
107031142,2020,53353,
107031143,2020,50015,
107041144,2020,54606,
107041145,2020,56774,
107041146,2020,55087,
107041147,2020,62799,
107041148,2020,65264,
107041150,2020,62564,
107041548,2020,52934,
107041549,2020,49265,
108011151,2020,45820,
108011152,2020,42000,
108011153,2020,38736,
108011154,2020,39907,
