SA2_CODE,YEAR,MEDIAN_WEEKLY_RENT,POP
101021007,2021,312,
101021008,2021,400,
101021009,2021,312,
101021010,2021,312,
101021012,2021,400,
101021610,2021,500,
101021611,2021,500,
101031013,2021,212,
101031014,2021,312,
101031015,2021,312,
101031016,2021,400,
101041017,2021,312,
101041018,2021,400,
101041019,2021,312,
101041020,2021,250,
101041021,2021,400,
101041023,2021,250,
101041024,2021,312,
101041025,2021,312,
101041026,2021,312,
101041027,2021,312,
101051539,2021,312,
101051540,2021,312,
101061541,2021,312,
101061542,2021,400,
101061543,2021,250,
101061544,2021,250,
102011028,2021,500,
102011029,2021,500,
102011030,2021,400,
102011031,2021,400,
102011032,2021,400,
102011033,2021,500,
102011034,2021,400,
102011035,2021,400,
102011036,2021,400,
102011037,2021,400,
102011038,2021,500,
102011039,2021,500,
102011040,2021,400,
102011041,2021,500,
102011042,2021,400,
102011043,2021,400,
102021044,2021,400,
102021045,2021,400,
102021046,2021,400,
102021047,2021,400,
102021048,2021,400,
102021049,2021,500,
102021050,2021,400,
102021051,2021,400,
102021052,2021,400,
102021053,2021,400,
102021054,2021,400,
102021055,2021,400,
102021056,2021,500,
102021057,2021,400,
103011059,2021,400,
103011060,2021,312,
103011061,2021,250,
103011612,2021,312,
103011613,2021,400,
103021062,2021,175,
103021063,2021,250,
103021064,2021,212,
103021065,2021,250,
103021066,2021,175,
103021067,2021,250,
103021068,2021,175,
103021069,2021,212,
103031070,2021,250,
103031071,2021,250,
103031072,2021,400,
103031073,2021,250,
103031074,2021,312,
103041076,2021,250,
103041077,2021,312,
103041078,2021,400,
103041079,2021,250,
104011080,2021,312,
104011081,2021,312,
104011082,2021,400,
104021083,2021,400,
104021084,2021,400,
104021085,2021,400,
104021086,2021,400,
104021087,2021,312,
104021088,2021,500,
104021089,2021,400,
104021090,2021,400,
104021091,2021,400,
105011092,2021,175,
105011093,2021,175,
105011094,2021,175,
105011095,2021,212,
105011096,2021,175,
105021097,2021,212,
105021098,2021,175,
105031099,2021,212,
105031100,2021,312,
105031101,2021,312,
105031102,2021,312,
105031103,2021,312,
105031104,2021,212,
105031105,2021,250,
105031106,2021,250,
106011107,2021,400,
106011108,2021,312,
106011109,2021,400,
106011110,2021,312,
106011111,2021,312,
106011112,2021,312,
106011113,2021,400,
106021114,2021,400,
106021116,2021,400,
106021614,2021,400,
106021615,2021,400,
106021616,2021,312,
106021617,2021,400,
106021618,2021,400,
106031119,2021,400,
106031120,2021,400,
106031121,2021,400,
106031122,2021,312,
106031123,2021,400,
106031124,2021,400,
106031125,2021,400,
106041126,2021,312,
106041127,2021,312,
106041128,2021,312,
106041129,2021,250,
107011131,2021,400,
107011132,2021,500,
107011134,2021,400,
107011545,2021,400,
107011546,2021,312,
107011547,2021,312,
107031136,2021,500,
107031137,2021,400,
107031138,2021,500,
107031139,2021,500,
107031140,2021,500,
107031141,2021,500,
107031142,2021,400,
107031143,2021,400,
107041144,2021,400,
107041145,2021,312,
107041146,2021,400,
107041147,2021,500,
107041148,2021,600,
107041150,2021,400,
107041548,2021,400,
107041549,2021,400,
108011151,2021,312,
108011152,2021,312,
108011153,2021,400,
108011154,2021,312,
108021155,2021,312,
108021156,2021,312,
108021157,2021,312,
108021158,2021,312,
108021159,2021,312,
108021160,2021,312,
108031161,2021,250,
108041162,2021,400,
108041164,2021,400,
108041165,2021,312,
108041166,2021,400,
108041619,2021,400,
108041620,2021,400,
108051167,2021,250,
108051168,2021,400,
108051169,2021,312,
108051170,2021,312,
108051171,2021,312,
109011172,2021,312,
109011173,2021,250,
109011174,2021,250,
109011175,2021,250,
109011176,2021,250,
109021177,2021,175,
109021178,2021,212,
109021179,2021,212,
109031180,2021,212,
109031181,2021,250,
109031182,2021,250,
109031183,2021,175,
109031184,2021,312,
109031185,2021,212,
110011186,2021,312,
110011187,2021,250,
110011188,2021,250,
110011189,2021,212,
110021190,2021,212,
110021191,2021,250,
110021192,2021,212,
110021193,2021,212,
110021194,2021,250,
110031195,2021,250,
110031196,2021,175,
110031197,2021,250,
110031198,2021,212,
110041199,2021,312,
110041200,2021,312,
110041201,2021,250,
110041202,2021,312,
110041203,2021,312,
110041204,2021,312,
110041205,2021,312,
111011206,2021,400,
111011207,2021,312,
111011208,2021,400,
111011209,2021,400,
111011210,2021,250,
111011211,2021,400,
111011212,2021,400,
111011213,2021,500,
111011214,2021,400,
111021215,2021,312,
111021216,2021,400,
111021217,2021,500,
111021218,2021,400,
111021219,2021,312,
111021220,2021,400,
111021221,2021,400,
111031222,2021,400,
111031223,2021,312,
111031224,2021,400,
111031225,2021,400,
111031226,2021,500,
111031227,2021,400,
111031228,2021,400,
111031229,2021,500,
111031231,2021,400,
111031232,2021,400,
111031233,2021,400,
111031234,2021,400,
111031235,2021,500,
112011236,2021,400,
112011237,2021,400,
112011238,2021,600,
112011239,2021,500,
112011240,2021,600,
112011241,2021,312,
112011242,2021,600,
112011243,2021,400,
112021244,2021,312,
112021245,2021,250,
112021246,2021,312,
112021247,2021,250,
112021248,2021,312,
112021249,2021,312,
112031250,2021,500,
112031251,2021,400,
112031252,2021,400,
112031253,2021,500,
112031254,2021,400,
112031550,2021,400,
112031551,2021,500,
112031552,2021,400,
113011256,2021,312,
113011257,2021,212,
113011258,2021,250,
113011259,2021,212,
113021260,2021,212,
113021261,2021,250,
113021262,2021,212,
113031263,2021,212,
113031264,2021,250,
113031265,2021,250,
113031266,2021,212,
113031267,2021,312,
113031268,2021,400,
113031269,2021,312,
113031270,2021,250,
113031271,2021,312,
114011272,2021,400,
114011273,2021,400,
114011274,2021,312,
114011276,2021,400,
114011277,2021,312,
114011278,2021,312,
114011279,2021,400,
114011280,2021,312,
114011281,2021,400,
114011282,2021,400,
114011283,2021,312,
114021284,2021,500,
114021285,2021,400,
114021286,2021,400,
114021287,2021,400,
114021288,2021,400,
114021289,2021,400,
115011290,2021,500,
115011291,2021,600,
115011294,2021,700,
115011296,2021,700,
115011553,2021,600,
115011554,2021,600,
115011555,2021,600,
115011556,2021,600,
115011557,2021,700,
115011558,2021,700,
115011621,2021,700,
115011622,2021,600,
115021297,2021,600,
115021298,2021,500,
115031299,2021,312,
115031300,2021,400,
115041301,2021,500,
115041623,2021,600,
115041624,2021,600,
115041625,2021,600,
116011303,2021,400,
116011304,2021,400,
116011306,2021,400,
116011307,2021,400,
116011560,2021,400,
116011561,2021,400,
116011626,2021,400,
116011627,2021,400,
116021309,2021,600,
116021562,2021,500,
116021563,2021,500,
116021628,2021,600,
116021629,2021,600,
116021630,2021,500,
116021631,2021,600,
116021632,2021,600,
116021633,2021,600,
116031313,2021,312,
116031314,2021,400,
116031315,2021,400,
116031316,2021,312,
116031317,2021,312,
116031319,2021,400,
117011320,2021,600,
117011321,2021,600,
117011323,2021,500,
117011634,2021,400,
117011635,2021,600,
117021327,2021,500,
117021328,2021,600,
117021636,2021,600,
117021637,2021,500,
117031329,2021,600,
117031330,2021,600,
117031331,2021,500,
117031333,2021,500,
117031336,2021,600,
117031638,2021,600,
117031639,2021,500,
117031640,2021,600,
117031641,2021,600,
117031642,2021,500,
117031643,2021,600,
117031644,2021,600,
117031645,2021,600,
117031646,2021,500,
117031647,2021,500,
117031648,2021,600,
118011339,2021,700,
118011340,2021,700,
118011341,2021,700,
118011344,2021,700,
118011345,2021,600,
118011346,2021,700,
118011347,2021,700,
118011649,2021,700,
118011650,2021,700,
118021564,2021,500,
118021565,2021,500,
118021566,2021,600,
118021567,2021,500,
118021568,2021,600,
118021569,2021,600,
118021570,2021,600,
118021651,2021,700,
118021652,2021,500,
118021653,2021,500,
118021654,2021,212,
119011354,2021,400,
119011355,2021,500,
119011356,2021,500,
119011358,2021,500,
119011360,2021,500,
119011361,2021,400,
119011571,2021,400,
119011572,2021,400,
119011655,2021,400,
119011656,2021,500,
119011657,2021,500,
119011658,2021,500,
119021362,2021,400,
119021366,2021,400,
119021367,2021,400,
119021573,2021,400,
119021574,2021,400,
119021659,2021,400,
119021660,2021,400,
119021661,2021,500,
119021662,2021,600,
119021663,2021,500,
119031370,2021,400,
119031371,2021,500,
119031372,2021,500,
119031373,2021,312,
119031374,2021,500,
119031664,2021,500,
119031665,2021,500,
119031666,2021,400,
119031667,2021,400,
119041377,2021,500,
119041378,2021,500,
119041379,2021,500,
119041380,2021,500,
119041381,2021,500,
119041382,2021,500,
119041668,2021,500,
119041669,2021,500,
119041670,2021,400,
119041671,2021,500,
120011383,2021,600,
120011385,2021,600,
120011386,2021,600,
120011672,2021,500,
120011673,2021,600,
120021387,2021,700,
120021389,2021,600,
120021674,2021,600,
120021675,2021,600,
120031392,2021,500,
120031393,2021,400,
120031394,2021,500,
120031395,2021,500,
120031396,2021,500,
120031576,2021,500,
120031676,2021,400,
120031677,2021,500,
120031678,2021,500,
120031679,2021,500,
120031680,2021,500,
120031681,2021,500,
121011399,2021,500,
121011401,2021,600,
121011682,2021,500,
121011683,2021,900,
121011684,2021,600,
121011685,2021,600,
121011686,2021,600,
121011687,2021,600,
121021403,2021,500,
121021404,2021,600,
121021406,2021,600,
121021577,2021,400,
121021578,2021,500,
121021579,2021,500,
121031407,2021,600,
121031408,2021,600,
121031409,2021,700,
121031410,2021,700,
121031411,2021,600,
121031412,2021,700,
121041413,2021,600,
121041414,2021,600,
121041416,2021,500,
121041417,2021,600,
121041688,2021,600,
121041689,2021,600,
122011418,2021,700,
122011419,2021,700,
122021420,2021,800,
122021421,2021,700,
122021422,2021,600,
122021690,2021,700,
122021691,2021,700,
122031424,2021,600,
122031425,2021,700,
122031427,2021,700,
122031429,2021,600,
122031430,2021,600,
122031432,2021,600,
122031692,2021,900,
122031693,2021,600,
122031694,2021,600,
122031695,2021,600,
122031696,2021,800,
122031697,2021,600,
123011433,2021,400,
123011698,2021,500,
123011699,2021,500,
123011700,2021,600,
123011701,2021,500,
123011702,2021,500,
123021436,2021,400,
123021437,2021,400,
123021438,2021,400,
123021441,2021,400,
123021443,2021,400,
123021444,2021,400,
123021703,2021,600,
123021704,2021,400,
123021705,2021,400,
123021706,2021,312,
123031445,2021,400,
123031446,2021,500,
123031447,2021,400,
123031448,2021,400,
124011449,2021,400,
124011450,2021,400,
124011452,2021,400,
124011453,2021,400,
124011454,2021,400,
124011455,2021,400,
124031457,2021,400,
124031459,2021,400,
124031460,2021,500,
124031461,2021,400,
124031462,2021,400,
124031463,2021,500,
124031464,2021,400,
124031465,2021,400,
124031707,2021,400,
124031708,2021,500,
124041466,2021,400,
124041467,2021,400,
124041468,2021,500,
124051469,2021,500,
124051470,2021,400,
124051580,2021,400,
124051581,2021,400,
125011582,2021,500,
125011583,2021,400,
125011584,2021,400,
125011585,2021,400,
125011586,2021,500,
125011587,2021,400,
125011709,2021,500,
125011710,2021,500,
125021477,2021,400,
125021478,2021,400,
125021711,2021,500,
125021712,2021,500,
125031479,2021,400,
125031480,2021,312,
125031481,2021,400,
125031483,2021,400,
125031484,2021,400,
125031487,2021,500,
125031713,2021,500,
125031714,2021,400,
125031715,2021,500,
125031716,2021,500,
125041489,2021,400,
125041490,2021,600,
125041491,2021,400,
125041493,2021,400,
125041494,2021,500,
125041588,2021,400,
125041589,2021,400,
125041717,2021,500,
125041718,2021,400,
125041719,2021,400,
126011496,2021,500,
126011720,2021,500,
126011721,2021,500,
126021498,2021,500,
126021499,2021,600,
126021500,2021,500,
126021501,2021,500,
126021503,2021,400,
126021590,2021,700,
126021722,2021,600,
126021723,2021,500,
126021724,2021,400,
126021725,2021,500,
127011504,2021,250,
127011505,2021,500,
127011592,2021,175,
127011593,2021,600,
127011594,2021,500,
127011595,2021,500,
127011596,2021,500,
127011597,2021,500,
127011726,2021,500,
127011727,2021,500,
127011728,2021,600,
127011729,2021,500,
127021509,2021,400,
