SA3_CODE,YEAR,MEDIAN_WEEKLY_HH_INCOME,POP
101021007,2021,949,
101021008,2021,1222,
101021009,2021,1205,
101021010,2021,1293,
101021012,2021,1727,
101021610,2021,1856,
101021611,2021,1636,
101031013,2021,849,
101031014,2021,929,
101031015,2021,990,
101031016,2021,1178,
101041017,2021,744,
101041018,2021,809,
101041019,2021,842,
101041020,2021,770,
101041021,2021,924,
101041022,2021,537,
101041023,2021,698,
101041024,2021,832,
101041025,2021,848,
101041026,2021,774,
101041027,2021,709,
101051539,2021,934,
101051540,2021,953,
101061541,2021,1092,
101061542,2021,1496,
101061543,2021,768,
101061544,2021,773,
102011028,2021,1295,
102011029,2021,1059,
102011030,2021,1050,
102011031,2021,938,
102011032,2021,1002,
102011033,2021,1172,
102011034,2021,873,
102011035,2021,1095,
102011036,2021,1098,
102011037,2021,1032,
102011038,2021,1046,
102011039,2021,1272,
102011040,2021,882,
102011041,2021,1219,
102011042,2021,823,
102011043,2021,886,
102021044,2021,925,
102021045,2021,876,
102021046,2021,804,
102021047,2021,1037,
102021048,2021,794,
102021049,2021,1305,
102021050,2021,724,
102021051,2021,1164,
102021052,2021,874,
102021053,2021,823,
102021054,2021,776,
102021055,2021,1058,
102021056,2021,1066,
102021057,2021,775,
103011059,2021,1051,
103011060,2021,1070,
103011061,2021,917,
103011612,2021,881,
103011613,2021,1089,
103021062,2021,785,
103021063,2021,724,
103021064,2021,743,
103021065,2021,845,
103021066,2021,695,
103021067,2021,905,
103021068,2021,795,
103021069,2021,877,
103031070,2021,746,
103031071,2021,888,
103031072,2021,1056,
103031073,2021,620,
103031074,2021,884,
103041076,2021,968,
103041077,2021,927,
103041078,2021,1156,
103041079,2021,1079,
104011080,2021,735,
104011081,2021,744,
104011082,2021,720,
104021083,2021,819,
104021084,2021,808,
104021085,2021,811,
104021086,2021,953,
104021087,2021,638,
104021088,2021,1097,
104021089,2021,860,
104021090,2021,781,
104021091,2021,830,
105011092,2021,910,
105011093,2021,1132,
105011094,2021,796,
105011095,2021,906,
105011096,2021,668,
105021097,2021,799,
105021098,2021,728,
105031099,2021,693,
105031100,2021,1030,
105031101,2021,1061,
105031102,2021,999,
105031103,2021,1090,
105031104,2021,749,
105031105,2021,836,
105031106,2021,739,
106011107,2021,1211,
106011108,2021,794,
106011109,2021,1029,
106011110,2021,930,
106011111,2021,892,
106011112,2021,1136,
106011113,2021,1139,
106021114,2021,1051,
106021116,2021,1283,
106021614,2021,983,
106021615,2021,1038,
106021616,2021,919,
106021617,2021,936,
106021618,2021,1216,
106031119,2021,817,
106031120,2021,716,
106031121,2021,841,
106031122,2021,819,
106031123,2021,1238,
106031124,2021,722,
106031125,2021,1017,
106041126,2021,1012,
106041127,2021,1082,
106041128,2021,1013,
106041129,2021,905,
107011131,2021,888,
107011132,2021,1202,
107011134,2021,1078,
107011545,2021,738,
107011546,2021,713,
107011547,2021,734,
107031136,2021,1144,
107031137,2021,853,
107031138,2021,1039,
107031139,2021,1167,
107031140,2021,1169,
107031141,2021,1163,
107031142,2021,949,
107031143,2021,754,
107041144,2021,1005,
107041145,2021,949,
107041146,2021,1110,
107041147,2021,1373,
107041148,2021,1436,
107041150,2021,1164,
107041548,2021,1154,
107041549,2021,1035,
108011151,2021,748,
108011152,2021,705,
108011153,2021,714,
108011154,2021,620,
108021155,2021,682,
108021156,2021,731,
108021157,2021,648,
108021158,2021,612,
108021159,2021,705,
108021160,2021,683,
108031161,2021,1070,
108041162,2021,726,
108041164,2021,800,
108041165,2021,805,
108041166,2021,826,
108041619,2021,949,
108041620,2021,894,
108051167,2021,698,
108051168,2021,801,
108051169,2021,671,
108051170,2021,686,
108051171,2021,713,
109011172,2021,1094,
109011173,2021,885,
109011174,2021,1024,
109011175,2021,941,
109011176,2021,774,
109021177,2021,797,
109021178,2021,882,
109021179,2021,915,
109031180,2021,771,
109031181,2021,817,
109031182,2021,823,
109031183,2021,773,
109031184,2021,872,
109031185,2021,765,
110011186,2021,948,
110011187,2021,774,
110011188,2021,901,
110011189,2021,782,
110021190,2021,637,
110021191,2021,773,
110021192,2021,653,
110021193,2021,661,
110021194,2021,608,
110031195,2021,979,
110031196,2021,1009,
110031197,2021,999,
110031198,2021,911,
110041199,2021,982,
110041200,2021,971,
110041201,2021,761,
110041202,2021,915,
110041203,2021,986,
110041204,2021,741,
110041205,2021,903,
111011206,2021,968,
111011207,2021,834,
111011208,2021,1117,
111011209,2021,1071,
111011210,2021,794,
111011211,2021,1030,
111011212,2021,905,
111011213,2021,1231,
111011214,2021,1050,
111021215,2021,914,
111021216,2021,926,
111021217,2021,1115,
111021218,2021,871,
111021219,2021,894,
111021220,2021,987,
111021221,2021,992,
111031222,2021,1242,
111031223,2021,791,
111031224,2021,1139,
111031225,2021,1169,
111031226,2021,1177,
111031227,2021,1051,
111031228,2021,1437,
111031229,2021,1442,
111031230,2021,1416,
111031231,2021,844,
111031232,2021,927,
111031233,2021,946,
111031234,2021,1060,
111031235,2021,1276,
112011236,2021,801,
112011237,2021,960,
112011238,2021,1213,
112011239,2021,918,
112011240,2021,1105,
112011241,2021,759,
112011242,2021,1181,
112011243,2021,860,
112021244,2021,710,
112021245,2021,719,
112021246,2021,865,
112021247,2021,667,
112021248,2021,794,
112021249,2021,913,
112031250,2021,992,
112031251,2021,736,
112031252,2021,841,
112031253,2021,904,
112031254,2021,807,
112031550,2021,831,
112031551,2021,1131,
112031552,2021,663,
113011256,2021,1011,
113011257,2021,998,
113011258,2021,912,
113011259,2021,773,
113021260,2021,868,
113021261,2021,820,
113021262,2021,893,
113031263,2021,723,
113031264,2021,856,
113031265,2021,892,
113031266,2021,765,
113031267,2021,1041,
113031268,2021,1172,
113031269,2021,1018,
113031270,2021,916,
113031271,2021,1020,
114011272,2021,950,
114011273,2021,807,
114011274,2021,778,
114011275,2021,1187,
114011276,2021,996,
114011277,2021,869,
114011278,2021,813,
114011279,2021,715,
114011280,2021,629,
114011281,2021,983,
114011282,2021,757,
114011283,2021,752,
