YEAR,NSW,VIC,QLD,WA,SA,TAS,ACT,NT
2011,538.05,509.6,427.25,523.0999999999999,382.1,307.55,554.5,497.6
2012,551.45,498.40000000000003,424.44999999999993,537.7,376.65,297.2,553,472.32500000000005
2013,590.975,519.9,431.95,573,384.84999999999997,298.85,557.875,500.25
2014,660.275,552.3000000000001,453.225,588.2249999999999,405.025,308.92499999999995,570.975,514.5749999999999
2015,762.25,606.825,470.25,566.525,416.79999999999995,320.925,595.8999999999999,497.725
2016,815.925,645.25,482.65,533.525,426.775,336.35,615.15,473.975
2017,899.325,720.975,499.7,524.2750000000001,442.275,369.15,652.8249999999999,450.725
2018,874.925,726.85,511.825,518.5749999999999,453.27500000000003,406.79999999999995,676.675,438.7
2019,850.175,709.625,510.6,502.375,458.92499999999995,425.625,680.0250000000001,430.6
2020,912.3249999999999,764.8750000000001,538.4,519.1500000000001,479.5,470.7,729,430.27500000000003
2021,1101.9,887.3499999999999,659.65,595.325,563.95,604.2,902.5,476.175
2022,1170.525,918.25,764.0999999999999,636.45,652.2249999999999,681,973.25,509.29999999999995
2023,1174.25,906.575,792.6500000000001,686.95,701.0500000000001,663.7,944.1,508.175
2024,1235.4,904.0250000000001,901.7,826.1999999999999,805.025,661.675,956.075,518.05
2025,1271.9666666666667,912.7666666666668,978.3333333333334,911.6333333333333,866.5,670.4666666666666,953.4,534.0333333333333
